,fill_rate,units_demanded,units_sold,units_unmet,units_expired,units_ordered,stockout_cost,holding_cost,waste_cost,total_cost
incumbent_fixed_rop,0.977416664613086,771011.0,753599.0,17412.0,161.0,746424.0,1896720.444,181946.14708999998,5361.5599999999995,2084028.1510899998
newsvendor_lgbm,0.9974539922257919,771011.0,769048.0,1963.0,165.0,758726.0,133551.146,250656.6333,6059.76,390267.5393
